Measure|Data Type|Template Id|Data Type Value Set|Data Type Value OID|Attribute
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Online Assessments|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1446|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||status
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|||period
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Telephone Visits|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1246|type
Exam130FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Malignant Neoplasm of Colon|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.108.12.1001|code
Exam130FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|active|active:ConditionClinicalStatusCodes|clinicalStatus
Exam130FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|recurrence|recurrence:ConditionClinicalStatusCodes|clinicalStatus
Exam130FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|relapse|relapse:ConditionClinicalStatusCodes|clinicalStatus
Exam130FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||onset
Exam130FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||abatement
Exam130FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|||recordedDate
Exam130FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Total Colectomy|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.198.12.1019|code
Exam130FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|||status
Exam130FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|||performed
Exam130FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Total Colectomy ICD9|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.198.11.1136|code
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Fecal Occult Blood Test (FOBT)|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.198.12.1011|code
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||effective
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||value
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||category
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|final||status
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|amended||status
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|corrected||status
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|||category.coding
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|FIT DNA|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.108.12.1039|code
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|CT Colonography|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.108.12.1038|code
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|appended||status
Exam130FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Flexible Sigmoidoscopy|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.198.12.1010|code
Exam130FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Colonoscopy|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.108.12.1020|code
Exam130FHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|Payer|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.114222.4.11.3591|type
Exam130FHIR.xml|Coverage|http://hl7.org/fhir/StructureDefinition/Coverage|||period
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Office Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1001|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Annual Wellness Visit|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.526.3.1240|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Preventive Care Services - Established Office Visit, 18 and Up|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1025|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Preventive Care Services-Initial Office Visit, 18 and Up|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1023|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Home Healthcare Services|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.464.1003.101.12.1016|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Encounter Inpatient|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113883.3.666.5.307|type
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Discharge to home for hospice care (procedure)|428361000124107:SNOMEDCT:2017-09|hospitalization
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Discharge to healthcare facility for hospice care (procedure)|428371000124100:SNOMEDCT:2017-09|hospitalization
Exam130FHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|Hospice care ambulatory|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1108.15|code
Exam130FHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|active||status
Exam130FHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|completed||status
Exam130FHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|||intent
Exam130FHIR.xml|ServiceRequest|http://hl7.org/fhir/StructureDefinition/ServiceRequest|||authoredOn
Exam130FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Hospice care ambulatory|http://cts.nlm.nih.gov/fhir/ValueSet/2.16.840.1.113762.1.4.1108.15|code
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Functional Assessment of Chronic Illness Therapy - Palliative Care Questionnaire (FACIT-Pal)|71007-9:LOINC|code
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Palliative Care Encounter|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1450|type
Exam130FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|Palliative Care Intervention|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.2224|code
Exam130FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|completed||status
Exam130FHIR.xml|Procedure|http://hl7.org/fhir/StructureDefinition/Procedure|in-progress||status
Exam130FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|Frailty Device|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1530|code
Exam130FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|active||status
Exam130FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|on-hold||status
Exam130FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|completed||status
Exam130FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|||intent
Exam130FHIR.xml|DeviceRequest|http://hl7.org/fhir/StructureDefinition/DeviceRequest|||authoredOn
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Frailty Device|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1530|code
Exam130FHIR.xml|Condition|http://hl7.org/fhir/StructureDefinition/Condition|Frailty Diagnosis|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1531|code
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Frailty Encounter|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1532|type
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|Frailty Symptom|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1533|code
Exam130FHIR.xml|Observation|http://hl7.org/fhir/StructureDefinition/Observation|preliminary||status
Exam130FHIR.xml|Encounter|http://hl7.org/fhir/StructureDefinition/Encounter|Acute Inpatient|https://www.ncqa.org/fhir/valueset/2.16.840.1.113883.3.464.1004.1810|type
